C26.017;Abdominal Injuries;D000007
C10.668;Amyotrophic Lateral Sclerosis;D000690
C18.452;Amyotrophic Lateral Sclerosis;D000690
C04.588;Anal Gland Neoplasms;D000694
C06.301;Anal Gland Neoplasms;D000694
C06.405;Anal Gland Neoplasms;D000694
C10.668;Pain Insensitivity, Congenital;D000699
C16.320;Pain Insensitivity, Congenital;D000699
C20.543;Anaphylaxis;D000707
C04.697;Anaplasia;D000708
C01.252;Anaplasmataceae Infections;D000711
C01.252;Anaplasmosis;D000712
C03.335;Ancylostomiasis;D000724
C15.378;Anemia;D000740
C15.378;Anemia, Aplastic;D000741
C15.378;Anemia, Dyserythropoietic, Congenital;D000742
C16.320;Anemia, Dyserythropoietic, Congenital;D000742
C15.378;Anemia, Hemolytic;D000743
C15.378;Anemia, Hemolytic, Autoimmune;D000744
C20.111;Anemia, Hemolytic, Autoimmune;D000744
C15.378;Anemia, Hemolytic, Congenital;D000745
C16.320;Anemia, Hemolytic, Congenital;D000745
C15.378;Anemia, Hemolytic, Congenital Nonspherocytic;D000746
C16.320;Anemia, Hemolytic, Congenital Nonspherocytic;D000746
C15.378;Anemia, Hypochromic;D000747
C15.378;Anemia, Macrocytic;D000748
C15.378;Anemia, Megaloblastic;D000749
C15.378;Anemia, Myelophthisic;D000750
C15.378;Anemia, Neonatal;D000751
C16.614;Anemia, Neonatal;D000751
C15.378;Anemia, Pernicious;D000752
C18.654;Anemia, Pernicious;D000752
C15.378;Anemia, Refractory;D000753
C15.378;Anemia, Refractory, with Excess of Blasts;D000754
C15.378;Anemia, Sickle Cell;D000755
C16.320;Anemia, Sickle Cell;D000755
C15.378;Anemia, Sideroblastic;D000756
C10.500;Anencephaly;D000757
C16.131;Anencephaly;D000757
C14.907;Aneurysm;D000783
C14.907;Aneurysm, Dissecting;D000784
C01.539;Aneurysm, Infected;D000785
C14.907;Aneurysm, Infected;D000785
C14.280;Angina Pectoris;D000787
C14.907;Angina Pectoris;D000787
C14.280;Angina Pectoris, Variant;D000788
C14.907;Angina Pectoris, Variant;D000788
C14.280;Angina, Unstable;D000789
C14.907;Angina, Unstable;D000789
C11.768;Angioid Streaks;D000793
C04.557;Angiokeratoma;D000794
C10.228;Fabry Disease;D000795
C14.907;Fabry Disease;D000795
C16.320;Fabry Disease;D000795
C18.452;Fabry Disease;D000795
C15.378;Angiolymphoid Hyperplasia with Eosinophilia;D000796
C15.604;Angiolymphoid Hyperplasia with Eosinophilia;D000796
C17.800;Angiolymphoid Hyperplasia with Eosinophilia;D000796
C14.907;Angiomatosis;D000798
C14.907;Angioedema;D000799
C17.800;Angioedema;D000799
C20.543;Angioedema;D000799
C11.744;Aniseikonia;D000839
C05.550;Ankylosis;D000844
C07.650;Anodontia;D000848
C07.793;Anodontia;D000848
C16.131;Anodontia;D000848
C10.597;Anomia;D000849
C11.250;Anophthalmos;D000853
C16.131;Anophthalmos;D000853
C10.597;Olfaction Disorders;D000857
C13.351;Anovulation;D000858
C19.391;Anovulation;D000858
C05.651;Anterior Compartment Syndrome;D000868
C14.907;Anterior Compartment Syndrome;D000868
C08.381;Anthracosilicosis;D000874
C24.800;Anthracosilicosis;D000874
C01.252;Anthrax;D000881
C12.777;Anuria;D001002
C13.351;Anuria;D001002
C06.405;Anus Diseases;D001004
C04.588;Anus Neoplasms;D001005
C06.301;Anus Neoplasms;D001005
C06.405;Anus Neoplasms;D001005
C06.198;Anus, Imperforate;D001006
C16.131;Anus, Imperforate;D001006
C14.907;Aortic Aneurysm;D001014
C14.907;Aortic Arch Syndromes;D001015
C14.240;Aortic Coarctation;D001017
C14.280;Aortic Coarctation;D001017
C16.131;Aortic Coarctation;D001017
C14.907;Aortic Diseases;D001018
C14.907;Aortic Rupture;D001019
C26.761;Aortic Rupture;D001019
C14.280;Aortic Stenosis, Subvalvular;D001020
C14.280;Aortic Valve Insufficiency;D001022
C14.280;Aortic Valve Prolapse;D001023
C14.280;Aortic Valve Stenosis;D001024
C14.907;Aortitis;D001025
C14.240;Aortopulmonary Septal Defect;D001028
C14.280;Aortopulmonary Septal Defect;D001028
C16.131;Aortopulmonary Septal Defect;D001028
C11.510;Aphakia;D001035
C11.510;Aphakia, Postcataract;D001036
C10.597;Aphasia;D001037
C10.597;Aphasia, Broca;D001039
C10.597;Aphasia, Wernicke;D001041
C08.360;Aphonia;D001044
C09.400;Aphonia;D001044
C10.597;Aphonia;D001044
C08.618;Apnea;D001049
C04.588;Appendiceal Neoplasms;D001063
C06.301;Appendiceal Neoplasms;D001063
C06.405;Appendiceal Neoplasms;D001063
C01.539;Appendicitis;D001064
C06.405;Appendicitis;D001064
C10.597;Apraxias;D001072
C04.557;Apudoma;D001079
C25.723;Arachnidism;D001098
C10.228;Arachnoiditis;D001100
C02.081;Arbovirus Infections;D001102
C11.204;Arcus Senilis;D001112
C02.782;Arenaviridae Infections;D001117
C17.800;Argyria;D001129
C25.723;Argyria;D001129
C26.088;Arm Injuries;D001134
C10.500;Arnold-Chiari Malformation;D001139
C16.131;Arnold-Chiari Malformation;D001139
C14.280;Arrhythmias, Cardiac;D001145
C14.280;Arrhythmia, Sinus;D001146
C14.907;Arterial Occlusive Diseases;D001157
C14.240;Arterio-Arterial Fistula;D001159
C14.907;Arterio-Arterial Fistula;D001159
C16.131;Arterio-Arterial Fistula;D001159
C14.907;Arteriosclerosis;D001161
C14.907;Arteriosclerosis Obliterans;D001162
C14.240;Arteriovenous Fistula;D001164
C14.907;Arteriovenous Fistula;D001164
C16.131;Arteriovenous Fistula;D001164
C14.240;Arteriovenous Malformations;D001165
C14.907;Arteriovenous Malformations;D001165
C16.131;Arteriovenous Malformations;D001165
C14.907;Arteritis;D001167
C05.550;Arthritis;D001168
C05.550;Arthritis, Experimental;D001169
C01.539;Arthritis, Infectious;D001170
C05.550;Arthritis, Infectious;D001170
C05.550;Arthritis, Juvenile Rheumatoid;D001171
C05.799;Arthritis, Juvenile Rheumatoid;D001171
C17.300;Arthritis, Juvenile Rheumatoid;D001171
C20.111;Arthritis, Juvenile Rheumatoid;D001171
C05.550;Arthritis, Rheumatoid;D001172
C05.799;Arthritis, Rheumatoid;D001172
C17.300;Arthritis, Rheumatoid;D001172
C20.111;Arthritis, Rheumatoid;D001172
C05.550;Arthrogryposis;D001176
C05.651;Arthrogryposis;D001176
C05.660;Arthrogryposis;D001176
C16.131;Arthrogryposis;D001176
C05.550;Arthropathy, Neurogenic;D001177
C20.543;Arthus Reaction;D001183
C10.597;Articulation Disorders;D001184
C08.381;Asbestosis;D001195
C24.800;Asbestosis;D001195
C03.335;Ascariasis;D001196
C03.335;Ascaridiasis;D001198
C18.654;Ascorbic Acid Deficiency;D001206
C01.539;Aspergillosis;D001228
C01.703;Aspergillosis;D001228
C17.800;Aspergillosis;D001228
C01.539;Aspergillosis, Allergic Bronchopulmonary;D001229
C01.703;Aspergillosis, Allergic Bronchopulmonary;D001229
C08.381;Aspergillosis, Allergic Bronchopulmonary;D001229
C08.674;Aspergillosis, Allergic Bronchopulmonary;D001229
C08.730;Aspergillosis, Allergic Bronchopulmonary;D001229
C17.800;Aspergillosis, Allergic Bronchopulmonary;D001229
C20.543;Aspergillosis, Allergic Bronchopulmonary;D001229
C26.103;Asphyxia;D001237
C16.614;Asphyxia Neonatorum;D001238
C11.093;Asthenopia;D001248
C08.127;Asthma;D001249
C08.381;Asthma;D001249
C08.674;Asthma;D001249
C20.543;Asthma;D001249
C08.127;Asthma, Exercise-Induced;D001250
C08.674;Asthma, Exercise-Induced;D001250
C20.543;Asthma, Exercise-Induced;D001250
C11.744;Astigmatism;D001251
C04.557;Astrocytoma;D001254
C10.597;Ataxia;D001259
C10.228;Ataxia Telangiectasia;D001260
C10.562;Ataxia Telangiectasia;D001260
C10.597;Ataxia Telangiectasia;D001260
C14.907;Ataxia Telangiectasia;D001260
C16.320;Ataxia Telangiectasia;D001260
C18.452;Ataxia Telangiectasia;D001260
C20.673;Ataxia Telangiectasia;D001260
C08.381;Pulmonary Atelectasis;D001261
C10.597;Athetosis;D001264
C26.115;Athletic Injuries;D001265
C14.280;Atrial Fibrillation;D001281
C14.280;Atrial Flutter;D001282
C09.218;Auditory Diseases, Central;D001304
C10.228;Auditory Diseases, Central;D001304
C09.218;Auditory Perceptual Disorders;D001308
C10.228;Auditory Perceptual Disorders;D001308
C10.597;Auditory Perceptual Disorders;D001308
C20.111;Autoimmune Diseases;D001327
C10.177;Autonomic Nervous System Diseases;D001342
C02.782;Avian Leukosis;D001353
C02.928;Avian Leukosis;D001353
C04.557;Avian Leukosis;D001353
C04.619;Avian Leukosis;D001353
C04.925;Avian Leukosis;D001353
C02.782;Sarcoma, Avian;D001357
C02.928;Sarcoma, Avian;D001357
C04.557;Sarcoma, Avian;D001357
C04.619;Sarcoma, Avian;D001357
C04.925;Sarcoma, Avian;D001357
C18.654;Avitaminosis;D001361
C03.701;Babesiosis;D001404
C03.752;Babesiosis;D001404
C10.597;Reflex, Babinski;D001405
C10.597;Back Pain;D001416
C01.252;Bacterial Infections;D001424
C01.539;Bacteriuria;D001437
C12.777;Bacteriuria;D001437
C13.351;Bacteriuria;D001437
C01.252;Bacteroides Infections;D001442
C12.294;Balanitis;D001446
C03.432;Balantidiasis;D001447
C03.752;Balantidiasis;D001447
C06.405;Balantidiasis;D001447
C12.777;Balkan Nephropathy;D001449
C13.351;Balkan Nephropathy;D001449
C26.120;Barotrauma;D001469
C06.198;Barrett Esophagus;D001471
C06.405;Barrett Esophagus;D001471
C01.252;Bartonella Infections;D001474
C01.252;Bartonellaceae Infections;D001476
C12.777;Bartter Syndrome;D001477
C13.351;Bartter Syndrome;D001477
C19.053;Bartter Syndrome;D001477
C04.182;Basal Cell Nevus Syndrome;D001478
C04.557;Basal Cell Nevus Syndrome;D001478
C04.700;Basal Cell Nevus Syndrome;D001478
C05.116;Basal Cell Nevus Syndrome;D001478
C05.500;Basal Cell Nevus Syndrome;D001478
C07.320;Basal Cell Nevus Syndrome;D001478
C16.131;Basal Cell Nevus Syndrome;D001478
C16.320;Basal Cell Nevus Syndrome;D001478
C10.228;Basal Ganglia Diseases;D001480
C16.131;Beckwith-Wiedemann Syndrome;D001506
C16.320;Beckwith-Wiedemann Syndrome;D001506
C07.465;Behcet Syndrome;D001528
C11.941;Behcet Syndrome;D001528
C14.907;Behcet Syndrome;D001528
C17.800;Behcet Syndrome;D001528
C18.654;Beriberi;D001602
C15.378;Bernard-Soulier Syndrome;D001606
C16.320;Bernard-Soulier Syndrome;D001606
C08.381;Berylliosis;D001607
C24.800;Berylliosis;D001607
C26.392;Bezoars;D001630
C06.130;Bile Duct Diseases;D001649
C04.588;Bile Duct Neoplasms;D001650
C06.130;Bile Duct Neoplasms;D001650
C06.301;Bile Duct Neoplasms;D001650
C06.130;Cholestasis, Extrahepatic;D001651
C06.130;Bile Reflux;D001655
C06.405;Bile Reflux;D001655
C06.130;Biliary Atresia;D001656
C06.198;Biliary Atresia;D001656
C16.131;Biliary Atresia;D001656
C06.130;Biliary Dyskinesia;D001657
C06.267;Biliary Fistula;D001658
C06.130;Biliary Tract Diseases;D001660
C04.588;Biliary Tract Neoplasms;D001661
C06.130;Biliary Tract Neoplasms;D001661
C06.301;Biliary Tract Neoplasms;D001661
C08.381;Bird Fancier's Lung;D001716
C08.674;Bird Fancier's Lung;D001716
C20.543;Bird Fancier's Lung;D001716
C24.125;Bird Fancier's Lung;D001716
C16.614;Birth Injuries;D001720
C26.141;Birth Injuries;D001720
C25.723;Bites and Stings;D001733
C26.153;Bites and Stings;D001733
C26.153;Bites, Human;D001734
C03.752;Blackwater Fever;D001742
C12.777;Urinary Bladder Calculi;D001744
C13.351;Urinary Bladder Calculi;D001744
C12.777;Urinary Bladder Diseases;D001745
C13.351;Urinary Bladder Diseases;D001745
C12.706;Bladder Exstrophy;D001746
C12.777;Bladder Exstrophy;D001746
C13.351;Bladder Exstrophy;D001746
C16.131;Bladder Exstrophy;D001746
C12.706;Urinary Bladder Fistula;D001747
C12.777;Urinary Bladder Fistula;D001747
C13.351;Urinary Bladder Fistula;D001747
C12.777;Urinary Bladder Neck Obstruction;D001748
C13.351;Urinary Bladder Neck Obstruction;D001748
C04.588;Urinary Bladder Neoplasms;D001749
C12.758;Urinary Bladder Neoplasms;D001749
C12.777;Urinary Bladder Neoplasms;D001749
C13.351;Urinary Bladder Neoplasms;D001749
C10.597;Urinary Bladder, Neurogenic;D001750
C12.777;Urinary Bladder, Neurogenic;D001750
C13.351;Urinary Bladder, Neurogenic;D001750
C04.557;Blast Crisis;D001752
C04.697;Blast Crisis;D001752
C15.378;Blast Crisis;D001752
C26.120;Blast Injuries;D001753
C01.539;Blastomycosis;D001759
C01.703;Blastomycosis;D001759
C17.800;Blastomycosis;D001759
C11.338;Blepharitis;D001762
C11.338;Blepharoptosis;D001763
C11.338;Blepharospasm;D001764
C06.405;Blind Loop Syndrome;D001765
C18.452;Blind Loop Syndrome;D001765
C10.597;Blindness;D001766
C11.966;Blindness;D001766
C17.800;Blister;D001768
C15.378;Blood Coagulation Disorders;D001778
C15.378;Blood Group Incompatibility;D001787
C20.188;Blood Group Incompatibility;D001787
C15.378;Blood Platelet Disorders;D001791
C15.378;Blood Protein Disorders;D001796
C16.131;Bloom Syndrome;D001816
C18.452;Bloom Syndrome;D001816
C02.081;Bluetongue;D001819
C02.782;Bluetongue;D001819
C04.182;Bone Cysts;D001845
C05.116;Bone Cysts;D001845
C05.116;Bone Diseases;D001847
C05.116;Bone Diseases, Developmental;D001848
C05.116;Bone Diseases, Endocrine;D001849
C19.149;Bone Diseases, Endocrine;D001849
C01.539;Bone Diseases, Infectious;D001850
C05.116;Bone Diseases, Infectious;D001850
C05.116;Bone Diseases, Metabolic;D001851
C15.378;Bone Marrow Diseases;D001855
C04.588;Bone Neoplasms;D001859
C05.116;Bone Neoplasms;D001859
C05.116;Bone Resorption;D001862
C02.782;Border Disease;D001882
C01.252;Bordetella Infections;D001885
C02.782;Borna Disease;D001890
C01.252;Borrelia Infections;D001899
C01.252;Botulism;D001906
C10.668;Botulism;D001906
C10.720;Botulism;D001906
C25.723;Botulism;D001906
C01.252;Boutonneuse Fever;D001907
C02.782;Bovine Virus Diarrhea-Mucosal Disease;D001912
C04.557;Bowen's Disease;D001913
C14.280;Bradycardia;D001919
C01.252;Brain Abscess;D001922
C01.323;Brain Abscess;D001922
C01.539;Brain Abscess;D001922
C10.228;Brain Abscess;D001922
C10.228;Brain Concussion;D001924
C10.900;Brain Concussion;D001924
C26.260;Brain Concussion;D001924
C26.915;Brain Concussion;D001924
C26.974;Brain Concussion;D001924
C10.228;Brain Damage, Chronic;D001925
C10.228;Brain Death;D001926
C10.597;Brain Death;D001926
C10.228;Brain Diseases;D001927
C10.228;Brain Diseases, Metabolic;D001928
C18.452;Brain Diseases, Metabolic;D001928
C10.228;Brain Edema;D001929
C10.228;Brain Injuries;D001930
C10.900;Brain Injuries;D001930
C26.260;Brain Injuries;D001930
C26.915;Brain Injuries;D001930
C04.588;Brain Neoplasms;D001932
C10.228;Brain Neoplasms;D001932
C10.551;Brain Neoplasms;D001932
C04.182;Branchioma;D001935
C17.800;Breast Diseases;D001941
C04.588;Breast Neoplasms;D001943
C17.800;Breast Neoplasms;D001943
C13.703;Breech Presentation;D001946
C04.557;Brenner Tumor;D001948
C13.351;Brenner Tumor;D001948
C19.391;Brenner Tumor;D001948
C08.127;Bronchial Diseases;D001982
C08.127;Bronchial Fistula;D001983
C08.702;Bronchial Fistula;D001983
C04.588;Bronchial Neoplasms;D001984
C08.127;Bronchial Neoplasms;D001984
C08.785;Bronchial Neoplasms;D001984
C08.127;Bronchial Spasm;D001986
C08.127;Bronchiectasis;D001987
C08.127;Bronchiolitis;D001988
C08.381;Bronchiolitis;D001988
C08.730;Bronchiolitis;D001988
C08.127;Bronchiolitis Obliterans;D001989
C08.381;Bronchiolitis Obliterans;D001989
C02.109;Bronchiolitis, Viral;D001990
C08.127;Bronchiolitis, Viral;D001990
C08.381;Bronchiolitis, Viral;D001990
C08.730;Bronchiolitis, Viral;D001990
C08.127;Bronchitis;D001991
C08.381;Bronchitis;D001991
C08.730;Bronchitis;D001991
C04.182;Bronchogenic Cyst;D001994
C08.127;Bronchogenic Cyst;D001994
C08.695;Bronchogenic Cyst;D001994
C16.131;Bronchogenic Cyst;D001994
C08.127;Bronchopneumonia;D001996
C08.381;Bronchopneumonia;D001996
C08.730;Bronchopneumonia;D001996
C08.381;Bronchopulmonary Dysplasia;D001997
C16.614;Bronchopulmonary Dysplasia;D001997
C08.695;Bronchopulmonary Sequestration;D001998
C16.131;Bronchopulmonary Sequestration;D001998
C01.252;Brucellosis;D002006
C01.252;Brucellosis, Bovine;D002007
C07.793;Bruxism;D002012
C14.280;Bundle-Branch Block;D002037
C02.782;Bunyaviridae Infections;D002044
C02.256;Burkitt Lymphoma;D002051
C02.928;Burkitt Lymphoma;D002051
C04.557;Burkitt Lymphoma;D002051
C04.619;Burkitt Lymphoma;D002051
C04.925;Burkitt Lymphoma;D002051
C15.604;Burkitt Lymphoma;D002051
C20.683;Burkitt Lymphoma;D002051
C07.465;Burning Mouth Syndrome;D002054
C26.200;Burns;D002056
C26.200;Burns, Chemical;D002057
C26.200;Burns, Electric;D002058
C26.324;Burns, Electric;D002058
C26.200;Burns, Inhalation;D002059
C05.550;Bursitis;D002062
C08.381;Byssinosis;D002095
C24.800;Byssinosis;D002095
C25.723;Cadmium Poisoning;D002105
C18.452;Calcinosis;D002114
C18.452;Calciphylaxis;D002115
C18.452;Calcium Metabolism Disorders;D002128
C17.800;Callosities;D002145
C01.252;Campylobacter Infections;D002169
C01.703;Candidiasis;D002177
C01.539;Candidiasis, Chronic Mucocutaneous;D002178
C01.703;Candidiasis, Chronic Mucocutaneous;D002178
C17.800;Candidiasis, Chronic Mucocutaneous;D002178
C01.539;Candidiasis, Cutaneous;D002179
C01.703;Candidiasis, Cutaneous;D002179
C17.800;Candidiasis, Cutaneous;D002179
C01.703;Candidiasis, Oral;D002180
C07.465;Candidiasis, Oral;D002180
C01.703;Candidiasis, Vulvovaginal;D002181
C13.351;Candidiasis, Vulvovaginal;D002181
C25.635;Marijuana Abuse;D002189
C05.550;Caplan Syndrome;D002205
C05.799;Caplan Syndrome;D002205
C08.381;Caplan Syndrome;D002205
C17.300;Caplan Syndrome;D002205
C24.800;Caplan Syndrome;D002205
C16.320;Carbohydrate Metabolism, Inborn Errors;D002239
C18.452;Carbohydrate Metabolism, Inborn Errors;D002239
C25.723;Carbon Monoxide Poisoning;D002249
C25.723;Carbon Tetrachloride Poisoning;D002252
C01.252;Carbuncle;D002270
C01.539;Carbuncle;D002270
C17.800;Carbuncle;D002270
C04.557;Carcinoid Heart Disease;D002275
C14.280;Carcinoid Heart Disease;D002275
C04.557;Carcinoid Tumor;D002276
C04.557;Carcinoma;D002277
C04.557;Carcinoma in Situ;D002278
C04.557;Carcinoma 256, Walker;D002279
C04.619;Carcinoma 256, Walker;D002279
C04.557;Carcinoma, Basal Cell;D002280
C04.557;Carcinoma, Basosquamous;D002281
C04.557;Adenocarcinoma, Bronchiolo-Alveolar;D002282
C04.588;Carcinoma, Bronchogenic;D002283
C08.381;Carcinoma, Bronchogenic;D002283
C08.785;Carcinoma, Bronchogenic;D002283
C04.619;Carcinoma, Brown-Pearce;D002284
C04.557;Carcinoma, Intraductal, Noninfiltrating;D002285
C04.557;Carcinoma, Ehrlich Tumor;D002286
C04.619;Carcinoma, Ehrlich Tumor;D002286
C04.557;Carcinoma, Krebs 2;D002287
C04.619;Carcinoma, Krebs 2;D002287
C04.557;Adenocarcinoma, Mucinous;D002288
C04.588;Carcinoma, Non-Small-Cell Lung;D002289
C08.381;Carcinoma, Non-Small-Cell Lung;D002289
C08.785;Carcinoma, Non-Small-Cell Lung;D002289
C04.557;Carcinoma, Papillary;D002291
C04.557;Carcinoma, Renal Cell;D002292
C04.588;Carcinoma, Renal Cell;D002292
C12.758;Carcinoma, Renal Cell;D002292
