D03.438.221.173;Calcimycin;D000001
N06.850.135.392;Accidents, Traffic;D000063
G07.700.062.133;Acclimatization;D000064
G16.100.057.500.133;Acclimatization;D000064
G14.640.079;Accommodation, Ocular;D000065
N03.219.463.030;Accounting;D000066
N03.219.463.030.080;Accounts Payable and Receivable;D000067
N03.706.110.070;Accreditation;D000068
N05.700.200.100;Accreditation;D000068
I01.076.201.450.050;Acculturation;D000069
I01.880.143.079;Acculturation;D000069
D02.033.100.624.025;Acebutolol;D000070
D02.033.100.624.698.025;Acebutolol;D000070
D02.033.755.624.025;Acebutolol;D000070
D02.033.755.624.698.025;Acebutolol;D000070
D02.092.063.624.698.025;Acebutolol;D000070
D02.886.590.263.050;Acedapsone;D000072
D02.455.426.559.847.638.059;Acenaphthenes;D000073
D04.615.638.059;Acenaphthenes;D000073
D03.438.150.446.520.079;Acenocoumarol;D000074
D03.830.219.446.520.079;Acenocoumarol;D000074
D02.886.369.029;Acepromazine;D000075
D03.494.741.029;Acepromazine;D000075
B01.650.940.150.133;Acetabularia;D000076
A02.835.232.043.825.108;Acetabulum;D000077
D02.047.064;Acetaldehyde;D000079
D02.355.071;Acetals;D000080
D02.065.064;Acetamides;D000081
D02.241.081.018.110;Acetamides;D000081
D02.065.199.092.040;Acetaminophen;D000082
D02.065.199.092;Acetanilides;D000083
D08.811.913.696.630.025;Acetate Kinase;D000084
D02.241.081.018;Acetates;D000085
D10.251.400.045;Acetates;D000085
D02.886.675.867.060;Acetazolamide;D000086
D03.383.129.708.867.060;Acetazolamide;D000086
D02.113.075;Acetic Anhydrides;D000089
D02.241.081.018.193;Acetic Anhydrides;D000089
D02.241.755.080;Acetoacetates;D000090
D02.522.585.175;Acetoacetates;D000090
B03.440.400.425.100.100;Acetobacter;D000091
B03.660.050.663.050.010;Acetobacter;D000091
D02.886.590.795.071;Acetohexamide;D000092
D02.948.828.071;Acetohexamide;D000092
D02.522.296.100;Acetoin;D000093
D08.811.682.047.050;Acetoin Dehydrogenase;D000094
D08.811.913.200.324;Acetolactate Synthase;D000095
D12.776.331.049;Acetolactate Synthase;D000095
D02.522.064;Acetone;D000096
D02.522.585.342;Acetone;D000096
D02.626.080;Acetonitriles;D000097
D02.522.120;Acetophenones;D000098
D02.065.064.150.100;Acetoxyacetylaminofluorene;D000099
D02.241.081.018.110.080.070;Acetoxyacetylaminofluorene;D000099
D02.455.426.559.847.389.050.060;Acetoxyacetylaminofluorene;D000099
D04.615.389.050.060;Acetoxyacetylaminofluorene;D000099
D02.241.223.100.050.300.100;Acetrizoic Acid;D000100
D02.241.223.100.400.880.020;Acetrizoic Acid;D000100
D02.455.426.559.389.127.020.452.249;Acetrizoic Acid;D000100
D02.455.426.559.389.127.375.880.020;Acetrizoic Acid;D000100
D08.811.913.050.134.025;Acetyl-CoA C-Acetyltransferase;D000101
D08.811.913.050.080;Acetyl-CoA C-Acyltransferase;D000102
D08.811.464.257.050;Acetyl-CoA Carboxylase;D000103
D08.811.277.352.897.075;Acetyl-CoA Hydrolase;D000104
D03.438.759.646.138.382.300.020;Acetyl Coenzyme A;D000105
D08.211.211.300.075;Acetyl Coenzyme A;D000105
D13.695.667.138.382.300.020;Acetyl Coenzyme A;D000105
D13.695.827.068.382.300.020;Acetyl Coenzyme A;D000105
D08.811.464.267.500.200;Acetate-CoA Ligase;D000106
G02.111.087.019.052;Acetylation;D000107
G02.149.115.019.052;Acetylation;D000107
G02.149.465.030.052;Acetylation;D000107
G02.607.750.030.052;Acetylation;D000107
G03.495.095.052;Acetylation;D000107
D02.092.877.883.099.090;Acetylcarnitine;D000108
D02.092.211.111;Acetylcholine;D000109
D08.811.277.352.100.170.176;Acetylcholinesterase;D000110
D02.886.030.230.259;Acetylcysteine;D000111
D12.125.166.230.259;Acetylcysteine;D000111
D04.808.155.160.278.259;Acetyldigitoxins;D000112
D04.808.155.580.130.500.336.259;Acetyldigitoxins;D000112
D09.408.180.261.336.259;Acetyldigitoxins;D000112
D04.808.155.160.349.050;Acetyldigoxins;D000113
D04.808.155.580.130.500.436.050;Acetyldigoxins;D000113
D09.408.180.261.436.050;Acetyldigoxins;D000113
D02.455.326.397.259;Acetylene;D000114
D08.811.277.352.100.050;Acetylesterase;D000115
D09.067.342.356.050;Acetylgalactosamine;D000116
D09.067.342.531.050;Acetylglucosamine;D000117
D08.811.277.450.483.180.500;Acetylglucosaminidase;D000118
D09.067.550.050;Acetylmuramyl-Alanyl-Isoglutamine;D000119
D09.811.522.050;Acetylmuramyl-Alanyl-Isoglutamine;D000119
D12.644.233.050;Acetylmuramyl-Alanyl-Isoglutamine;D000119
D02.241.223.100.050.500.625;Acecainide;D000120
D02.241.223.100.100.033;Acecainide;D000120
D02.455.426.559.389.127.020.937.625;Acecainide;D000120
D02.455.426.559.389.127.085.033;Acecainide;D000120
D08.811.913.555.500.100;Acetylserotonin O-Methyltransferase;D000121
D02.092.877.883.333.800.030;Acetylthiocholine;D000122
D02.675.276.232.800.030;Acetylthiocholine;D000122
D02.886.489.789.030;Acetylthiocholine;D000122
D08.811.913.050.134;Acetyltransferases;D000123
F01.658.059;Achievement;D000124
F02.784.629.054;Achievement;D000124
A02.880.176;Achilles Tendon;D000125
C06.405.748.045;Achlorhydria;D000126
C18.452.076.087;Achlorhydria;D000126
B03.440.860.074.150;Acholeplasma;D000127
B03.440.860.074.150.500;Acholeplasma laidlawii;D000128
B03.440.860.074;Acholeplasmataceae;D000129
C05.116.099.343.110;Achondroplasia;D000130
C05.116.099.708.017;Achondroplasia;D000130
C16.320.240.500;Achondroplasia;D000130
E06.931.475.111;Acid Etching, Dental;D000134
D08.811.277.352.650.025;Acid Phosphatase;D000135
G02.111.029;Acid-Base Equilibrium;D000136
G02.300.176;Acid-Base Equilibrium;D000136
G03.030;Acid-Base Equilibrium;D000136
G07.700.360.110;Acid-Base Equilibrium;D000136
G09.188.050;Acid-Base Equilibrium;D000136
C18.452.076;Acid-Base Imbalance;D000137
C18.452.076.176;Acidosis;D000138
C18.452.076.176.180;Acidosis, Lactic;D000140
C12.777.419.815.093;Acidosis, Renal Tubular;D000141
C13.351.968.419.815.093;Acidosis, Renal Tubular;D000141
C16.320.565.861.093;Acidosis, Renal Tubular;D000141
C18.452.076.176.210;Acidosis, Renal Tubular;D000141
C18.452.648.861.093;Acidosis, Renal Tubular;D000141
C08.618.846.093;Acidosis, Respiratory;D000142
C18.452.076.176.310;Acidosis, Respiratory;D000142
D01.029;Acids;D000143
D02.241.081;Acids, Acyclic;D000144
D02.241.152;Acids, Aldehydic;D000145
D02.241.223;Acids, Carbocyclic;D000146
D03.066;Acids, Heterocyclic;D000147
D01.029.260;Acids, Noncarboxylic;D000148
D01.303.350.300.875.050;Acidulated Phosphate Fluoride;D000149
D01.695.625.675.650.025;Acidulated Phosphate Fluoride;D000149
D01.857.725.050;Acidulated Phosphate Fluoride;D000149
D25.223.015;Acidulated Phosphate Fluoride;D000149
J01.637.051.223.015;Acidulated Phosphate Fluoride;D000149
B03.440.400.425.537.050;Acinetobacter;D000150
B03.660.250.530.050;Acinetobacter;D000150
C01.252.400.560.022;Acinetobacter Infections;D000151
C17.800.030.150;Acne Vulgaris;D000152
C17.800.271.125.200;Acne Vulgaris;D000152
C17.800.794.111;Acne Vulgaris;D000152
A10.165.450.300.425.125;Acne Keloid;D000153
C17.300.200.425.125;Acne Keloid;D000153
C17.800.030.030;Acne Keloid;D000153
C17.800.271.125.125;Acne Keloid;D000153
C17.800.329.500.261;Acne Keloid;D000153
D08.811.520.241.300.050;Aconitate Hydratase;D000154
D02.241.081.901.177;Aconitic Acid;D000156
D02.455.849.291.037;Aconitine;D000157
D03.132.030;Aconitine;D000157
E01.370.382.375.050;Acoustic Impedance Tests;D000158
A08.800.800.120.910;Vestibulocochlear Nerve;D000159
C09.218.807.800;Vestibulocochlear Nerve Diseases;D000160
C10.292.910;Vestibulocochlear Nerve Diseases;D000160
E02.037;Acoustic Stimulation;D000161
E02.190.888.030;Acoustic Stimulation;D000161
E05.723.136;Acoustic Stimulation;D000161
H01.671.031;Acoustics;D000162
C02.782.815.616.400.040;Acquired Immunodeficiency Syndrome;D000163
C02.800.801.400.040;Acquired Immunodeficiency Syndrome;D000163
C02.839.040;Acquired Immunodeficiency Syndrome;D000163
C20.673.480.040;Acquired Immunodeficiency Syndrome;D000163
B01.300.381.025;Acremonium;D000164
D03.494.046.250.150;Acridine Orange;D000165
D03.494.046;Acridines;D000166
D03.494.046.250.177;Acriflavine;D000167
C05.116.099.370.894.232.015;Acrocephalosyndactylia;D000168
C05.116.099.370.894.819.100;Acrocephalosyndactylia;D000168
C05.660.207.240.100;Acrocephalosyndactylia;D000168
C05.660.207.707.249.100;Acrocephalosyndactylia;D000168
C05.660.585.800.100;Acrocephalosyndactylia;D000168
C05.660.906.364.100;Acrocephalosyndactylia;D000168
C05.660.906.819.100;Acrocephalosyndactylia;D000168
C16.131.621.207.240.100;Acrocephalosyndactylia;D000168
C16.131.621.207.707.249.100;Acrocephalosyndactylia;D000168
C16.131.621.585.800.100;Acrocephalosyndactylia;D000168
C16.131.621.906.364.100;Acrocephalosyndactylia;D000168
C16.131.621.906.819.100;Acrocephalosyndactylia;D000168
C16.131.831.066;Acrodermatitis;D000169
C17.800.174.100;Acrodermatitis;D000169
C17.800.804.066;Acrodermatitis;D000169
C10.668.829.025;Acrodynia;D000170
C10.720.475.600.150;Acrodynia;D000170
C25.723.647.500.100;Acrodynia;D000170
D02.047.122;Acrolein;D000171
C05.116.132.082;Acromegaly;D000172
C10.228.140.617.738.250.100;Acromegaly;D000172
C19.700.355.179;Acromegaly;D000172
A02.835.583.032;Acromioclavicular Joint;D000173
A02.835.232.087.783.261;Acromion;D000174
D03.132.032.077;Acronine;D000175
D03.494.046.109.077;Acronine;D000175
D08.811.277.656.300.760.030;Acrosin;D000176
D08.811.277.656.959.350.030;Acrosin;D000176
A05.360.490.890.820.100;Acrosome;D000177
A11.284.430.214.190.875.190.550.040;Acrosome;D000177
A11.497.760.400.100;Acrosome;D000177
D02.065.122;Acrylamides;D000178
D02.241.081.069.094;Acrylamides;D000178
D02.241.081.069;Acrylates;D000179
D05.750.716.822.111;Acrylic Resins;D000180
D25.720.716.822.111;Acrylic Resins;D000180
J01.637.051.720.716.822.111;Acrylic Resins;D000180
D02.626.095;Acrylonitrile;D000181
C04.730.713.317;ACTH Syndrome, Ectopic;D000182
D20.777.050;Actihaemyl;D000183
F01.393.047;Acting Out;D000184
D05.750.078.730.248;Actinin;D000185
D12.776.210.500.095;Actinin;D000185
D12.776.220.525.250;Actinin;D000185
D01.268.033.033;Actinium;D000186
D01.268.271.100.033;Actinium;D000186
D01.268.556.025;Actinium;D000186
D01.552.020.042;Actinium;D000186
D01.552.544.025;Actinium;D000186
C01.252.400.700.030.178;Actinobacillosis;D000187
C22.039;Actinobacillosis;D000187
B03.440.450.009;Actinobacillus;D000188
B03.660.250.550.050;Actinobacillus;D000188
C01.252.400.700.030;Actinobacillus Infections;D000189
B03.510.024.049.050.050;Actinomyces;D000190
B03.510.460.400.400.049.049.178;Actinomyces;D000190
B03.510.024.049.050;Actinomycetaceae;D000191
B03.510.460.400.400.049.049;Actinomycetaceae;D000191
B03.510.024.049;Actinomycetales;D000192
C01.252.410.040;Actinomycetales Infections;D000193
C01.252.410.040.137;Actinomycosis;D000196
C01.252.410.040.137.262;Actinomycosis, Cervicofacial;D000197
C01.252.825.110;Actinomycosis, Cervicofacial;D000197
C01.539.800.720.110;Actinomycosis, Cervicofacial;D000197
C17.800.838.765.110;Actinomycosis, Cervicofacial;D000197
D03.383.231.388.712;Spectinomycin;D000198
D03.494.835;Spectinomycin;D000198
D09.408.051.836;Spectinomycin;D000198
D05.750.078.730.250;Actins;D000199
D12.776.210.500.100;Actins;D000199
D12.776.220.525.255;Actins;D000199
G04.580.100;Action Potentials;D000200
G07.265.750.100;Action Potentials;D000200
G11.561.570.100;Action Potentials;D000200
E05.196.039;Activation Analysis;D000201
E06.658.453.560.100;Activator Appliances;D000202
E06.658.453.578.100;Activator Appliances;D000202
E02.831.067;Activities of Daily Living;D000203
I03.050;Activities of Daily Living;D000203
N02.421.784.110;Activities of Daily Living;D000203
G07.180.562.190.025;Activity Cycles;D000204
D12.776.210.500.154;Actomyosin;D000205
E05.318.740.100;Actuarial Analysis;D000206
N05.715.360.750.100;Actuarial Analysis;D000206
N06.850.520.830.100;Actuarial Analysis;D000206
C23.550.291.125;Acute Disease;D000208
D12.776.124.050;Acute-Phase Proteins;D000209
C23.550.470.099;Acute-Phase Reaction;D000210
D03.438.759.758.399.454.250;Acyclovir;D000212
D12.776.157.050;Acyl Carrier Protein;D000213
D03.438.759.646.138.382.300;Acyl Coenzyme A;D000214
D08.211.211.300;Acyl Coenzyme A;D000214
D13.695.667.138.382.300;Acyl Coenzyme A;D000214
D13.695.827.068.382.300;Acyl Coenzyme A;D000214
G02.111.087.019;Acylation;D000215
G02.149.115.019;Acylation;D000215
G02.149.465.030;Acylation;D000215
G02.607.750.030;Acylation;D000215
G03.495.095;Acylation;D000215
D08.811.913.696.445.035;N-Acylneuraminate Cytidylyltransferase;D000216
D08.811.913.050;Acyltransferases;D000217
D02.455.426.100.050;Adamantane;D000218
D02.455.426.392.368.075;Adamantane;D000218
C14.280.067.558.137;Adams-Stokes Syndrome;D000219
C23.550.073.425.025;Adams-Stokes Syndrome;D000219
G16.100.057;Adaptation, Biological;D000220
G14.640.154;Adaptation, Ocular;D000221
G07.700.062;Adaptation, Physiological;D000222
G16.100.057.500;Adaptation, Physiological;D000222
F01.058;Adaptation, Psychological;D000223
C19.053.500.263;Addison Disease;D000224
C20.111.163;Addison Disease;D000224
D03.438.759.138;Adenine;D000225
D12.776.157.530.625.875.500;Mitochondrial ADP, ATP Translocases;D000226
D12.776.543.585.450.162.225;Mitochondrial ADP, ATP Translocases;D000226
D12.776.543.585.475.500;Mitochondrial ADP, ATP Translocases;D000226
D12.776.543.585.625.875.500;Mitochondrial ADP, ATP Translocases;D000226
D12.776.575.750.500;Mitochondrial ADP, ATP Translocases;D000226
D03.438.759.646.138;Adenine Nucleotides;D000227
D13.695.667.138;Adenine Nucleotides;D000227
D13.695.827.068;Adenine Nucleotides;D000227
D08.811.913.400.725.100;Adenine Phosphoribosyltransferase;D000228
B04.280.580.650.170;Dependovirus;D000229
B04.909.204.671.650.170;Dependovirus;D000229
C04.557.470.200.025;Adenocarcinoma;D000230
C04.557.470.200.025.085;Adenocarcinoma, Papillary;D000231
C04.557.450.565.590.595.050;Adenofibroma;D000232
C04.557.470.625.050;Adenofibroma;D000232
E04.580.068;Adenoidectomy;D000233
A04.623.557.500;Adenoids;D000234
A10.549.100;Adenoids;D000234
A14.724.557.500;Adenoids;D000234
A15.382.520.604.100;Adenoids;D000234
C04.557.435.075;Adenolymphoma;D000235
C04.557.470.035;Adenoma;D000236
C04.557.465.625.650.075;Adenoma, Basophil;D000237
C04.557.470.035.075;Adenoma, Basophil;D000237
C04.557.580.625.650.075;Adenoma, Basophil;D000237
C04.557.465.625.650.095;Adenoma, Chromophobe;D000238
C04.557.470.035.095;Adenoma, Chromophobe;D000238
C04.557.580.625.650.095;Adenoma, Chromophobe;D000238
C04.557.465.625.650.025;Adenoma, Acidophil;D000239
C04.557.470.035.025;Adenoma, Acidophil;D000239
C04.557.580.625.650.025;Adenoma, Acidophil;D000239
D03.438.759.590.138;Adenosine;D000241
D13.570.583.138;Adenosine;D000241
D13.570.800.096;Adenosine;D000241
D03.438.759.646.138.395;Cyclic AMP;D000242
D13.695.462.200;Cyclic AMP;D000242
D13.695.667.138.395;Cyclic AMP;D000242
D13.695.827.068.395;Cyclic AMP;D000242
D08.811.277.151.486.075;Adenosine Deaminase;D000243
D03.438.759.646.138.124;Adenosine Diphosphate;D000244
D13.695.667.138.124;Adenosine Diphosphate;D000244
D13.695.827.068.124;Adenosine Diphosphate;D000244
D03.438.759.646.138.124.070.075;Adenosine Diphosphate Glucose;D000245
D09.408.620.569.070.075;Adenosine Diphosphate Glucose;D000245
D13.695.667.138.124.070.075;Adenosine Diphosphate Glucose;D000245
D13.695.827.068.124.070.075;Adenosine Diphosphate Glucose;D000245
D13.695.827.708.070.075;Adenosine Diphosphate Glucose;D000245
D03.438.759.646.138.124.070.125;Adenosine Diphosphate Ribose;D000246
D09.408.620.569.070.125;Adenosine Diphosphate Ribose;D000246
D13.695.667.138.124.070.125;Adenosine Diphosphate Ribose;D000246
D13.695.827.068.124.070.125;Adenosine Diphosphate Ribose;D000246
D13.695.827.708.070.125;Adenosine Diphosphate Ribose;D000246
D03.438.759.646.138.124.070;Adenosine Diphosphate Sugars;D000247
D09.408.620.569.070;Adenosine Diphosphate Sugars;D000247
D13.695.667.138.124.070;Adenosine Diphosphate Sugars;D000247
D13.695.827.068.124.070;Adenosine Diphosphate Sugars;D000247
D13.695.827.708.070;Adenosine Diphosphate Sugars;D000247
D08.811.913.696.620.010;Adenosine Kinase;D000248
D03.438.759.646.138.180;Adenosine Monophosphate;D000249
D13.695.667.138.180;Adenosine Monophosphate;D000249
D13.695.827.068.180;Adenosine Monophosphate;D000249
D03.438.759.646.138.180.080;Adenosine Phosphosulfate;D000250
D13.695.667.138.180.080;Adenosine Phosphosulfate;D000250
D13.695.827.068.180.080;Adenosine Phosphosulfate;D000250
D08.811.277.040.025;Adenosine Triphosphatases;D000251
D08.811.277.040.025.125;Calcium-Transporting ATPases;D000252
D12.776.157.530.450.250.500;Calcium-Transporting ATPases;D000252
D12.776.543.585.450.250.500;Calcium-Transporting ATPases;D000252
D08.811.277.040.025.810;Sodium-Potassium-Exchanging ATPase;D000254
D12.776.157.530.450.162.780;Sodium-Potassium-Exchanging ATPase;D000254
D12.776.157.530.450.250.880;Sodium-Potassium-Exchanging ATPase;D000254
D12.776.543.585.450.162.800;Sodium-Potassium-Exchanging ATPase;D000254
D12.776.543.585.450.250.890;Sodium-Potassium-Exchanging ATPase;D000254
D03.438.759.646.138.236;Adenosine Triphosphate;D000255
D13.695.667.138.236;Adenosine Triphosphate;D000255
D13.695.827.068.236;Adenosine Triphosphate;D000255
B04.280.030;Adenoviridae;D000256
B04.909.204.097;Adenoviridae;D000256
C02.256.076;Adenoviridae Infections;D000257
C02.256.076.045;Adenovirus Infections, Human;D000258
B04.280.030.100;Aviadenovirus;D000259
B04.909.204.097.100;Aviadenovirus;D000259
B04.280.030.500.350;Adenoviruses, Human;D000260
B04.909.204.097.500.350;Adenoviruses, Human;D000260
B04.280.030.500.700;Adenoviruses, Simian;D000261
B04.909.204.097.500.700;Adenoviruses, Simian;D000261
D08.811.520.650.200;Adenylate Cyclase;D000262
D12.644.360.050;Adenylate Cyclase;D000262
D12.776.476.050;Adenylate Cyclase;D000262
D08.811.913.696.650.025;Adenylate Kinase;D000263
D08.811.520.232.300.200;Adenylosuccinate Lyase;D000264
D08.811.464.259.100;Adenylosuccinate Synthase;D000265
D03.438.759.646.138.236.050;Adenylyl Imidodiphosphate;D000266
D13.695.667.138.236.050;Adenylyl Imidodiphosphate;D000266
D13.695.827.068.236.050;Adenylyl Imidodiphosphate;D000266
C23.550.355.274.840;Tissue Adhesions;D000267
G02.842.850.139;Adhesiveness;D000268
D27.720.013;Adhesives;D000269
J01.637.016;Adhesives;D000269
C10.177.045;Adie Syndrome;D000270
C10.292.600.200;Adie Syndrome;D000270
C11.590.436.200;Adie Syndrome;D000270
C11.710.800.180;Adie Syndrome;D000270
D02.241.081.337.052;Adipates;D000272
A10.165.114;Adipose Tissue;D000273
C17.800.463.249;Adiposis Dolorosa;D000274
C18.452.584.718.500;Adiposis Dolorosa;D000274
F03.075;Adjustment Disorders;D000275
D27.505.696.477.067;Adjuvants, Immunologic;D000276
D26.650.064;Adjuvants, Pharmaceutic;D000277
D27.720.744.064;Adjuvants, Pharmaceutic;D000277
E02.319.267.100.028;Administration, Buccal;D000278
E02.319.267.120.040;Administration, Buccal;D000278
E02.319.267.120.060;Administration, Cutaneous;D000279
E02.319.267.050;Administration, Inhalation;D000280
E02.319.267.080;Administration, Intranasal;D000281
E02.319.267.120.080;Administration, Intranasal;D000281
E02.319.267.120.500;Administration, Intravaginal;D000282
E02.319.267.120.505;Administration, Intravesical;D000283
E02.319.267.100;Administration, Oral;D000284
E02.319.267.110;Administration, Rectal;D000285
E02.319.267.120.806;Administration, Rectal;D000285
E02.319.267.100.878;Administration, Sublingual;D000286
E02.319.267.120;Administration, Topical;D000287
M01.526.070;Administrative Personnel;D000288
N02.278.354.422.040;Admitting Department, Hospital;D000289
N04.452.442.422.040;Admitting Department, Hospital;D000289
A05.360.319.114;Adnexa Uteri;D000290
C13.351.500.056;Adnexal Diseases;D000291
C01.539.635.500;Pelvic Inflammatory Disease;D000292
C13.351.500.056.750;Pelvic Inflammatory Disease;D000292
M01.060.057;Adolescent;D000293
F01.145.022;Adolescent Behavior;D000294
H02.403.014;Adolescent Medicine;D000295
F04.096.544.065;Adolescent Psychiatry;D000296
H02.403.690.080;Adolescent Psychiatry;D000296
F04.096.628.065;Adolescent Psychology;D000297
M01.643.050;Adolescent, Hospitalized;D000298
M01.643.154;Adolescent, Institutionalized;D000299
I01.880.225.140;Adoption;D000300
D04.808.247.808.050;Adosterol;D000301
A06.407.071.140;Adrenal Cortex;D000302
C19.053.098;Adrenal Cortex Diseases;D000303
E01.370.374.050;Adrenal Cortex Function Tests;D000304
D06.472.040;Adrenal Cortex Hormones;D000305
C04.588.322.078.265;Adrenal Cortex Neoplasms;D000306
C19.053.098.265;Adrenal Cortex Neoplasms;D000306
C19.053.347.500;Adrenal Cortex Neoplasms;D000306
C19.344.078.265;Adrenal Cortex Neoplasms;D000306
C19.053;Adrenal Gland Diseases;D000307
C19.053.800;Adrenocortical Hyperfunction;D000308
C19.053.500;Adrenal Insufficiency;D000309
C04.588.322.078;Adrenal Gland Neoplasms;D000310
C19.053.347;Adrenal Gland Neoplasms;D000310
C19.344.078;Adrenal Gland Neoplasms;D000310
A06.407.071;Adrenal Glands;D000311
C12.706.316.129.500;Adrenal Hyperplasia, Congenital;D000312
C13.351.875.253.129.500;Adrenal Hyperplasia, Congenital;D000312
C16.131.939.316.129.500;Adrenal Hyperplasia, Congenital;D000312
C16.320.033;Adrenal Hyperplasia, Congenital;D000312
C16.320.565.925.249;Adrenal Hyperplasia, Congenital;D000312
C18.452.648.925.249;Adrenal Hyperplasia, Congenital;D000312
C19.053.440;Adrenal Hyperplasia, Congenital;D000312
C19.391.119.129.500;Adrenal Hyperplasia, Congenital;D000312
A06.407.071.265;Adrenal Medulla;D000313
C04.557.470.035.232;Adrenal Rest Tumor;D000314
E04.270.115;Adrenalectomy;D000315
D27.505.519.625.050.100.100;Adrenergic alpha-Agonists;D000316
D27.505.696.577.050.100.100;Adrenergic alpha-Agonists;D000316
D27.505.519.625.050.200.100;Adrenergic alpha-Antagonists;D000317
D27.505.696.577.050.200.100;Adrenergic alpha-Antagonists;D000317
D27.505.519.625.050.100.200;Adrenergic beta-Agonists;D000318
D27.505.696.577.050.100.200;Adrenergic beta-Agonists;D000318
D27.505.519.625.050.200.200;Adrenergic beta-Antagonists;D000319
D27.505.696.577.050.200.200;Adrenergic beta-Antagonists;D000319
